branch,category,seatpool,oprank,closerank
"Chemical Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",SC,Gender-Neutral,774,1060
"Chemical Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",ST,Gender-Neutral,414,539
"Chemical Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",General,Female-Only,3932,4356
"Chemical Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",EWS,Female-Only,1483,1483
"Chemical Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",OBC-NCL,Female-Only,3829,4174
"Chemical Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",SC,Female-Only,1065,1065
"Chemical Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",ST,Female-Only,948,948
"Computer Science and Engineering(5 year, Bachelor and Master of Technology (Dual
Degree), Engineering)",General,Gender-Neutral,120,192
"Computer Science and Engineering(5 year, Bachelor and Master of Technology (Dual
Degree), Engineering)",General PwD,Gender-Neutral,7,7
"Computer Science and Engineering(5 year, Bachelor and Master of Technology (Dual
Degree), Engineering)",EWS,Gender-Neutral,12,32
"Computer Science and Engineering(5 year, Bachelor and Master of Technology (Dual
Degree), Engineering)",OBC-NCL,Gender-Neutral,75,136
"Computer Science and Engineering(5 year, Bachelor and Master of Technology (Dual
Degree), Engineering)",OBC-NCL(PwD),Gender-Neutral,11,11
"Computer Science and Engineering(5 year, Bachelor and Master of Technology (Dual
Degree), Engineering)",SC,Gender-Neutral,37,80
"Computer Science and Engineering(5 year, Bachelor and Master of Technology (Dual
Degree), Engineering)",ST,Gender-Neutral,34,69
"Computer Science and Engineering(5 year, Bachelor and Master of Technology (Dual
Degree), Engineering)",General,Female-Only,519,864
"Computer Science and Engineering(5 year, Bachelor and Master of Technology (Dual
Degree), Engineering)",OBC-NCL,Female-Only,245,248
"Computer Science and Engineering(5 year, Bachelor and Master of Technology (Dual
Degree), Engineering)",SC,Female-Only,124,124
"Computer Science and Engineering(5 year, Bachelor and Master of Technology (Dual
Degree), Engineering)",ST,Female-Only,176,176
"Mathematics and Computing(5 year, Bachelor and Master of Technology (Dual
Degree), Engineering)",General,Gender-Neutral,243,378
"Mathematics and Computing(5 year, Bachelor and Master of Technology (Dual
Degree), Engineering)",General PwD,Gender-Neutral,48,48
"Mathematics and Computing(5 year, Bachelor and Master of Technology (Dual
Degree), Engineering)",EWS,Gender-Neutral,40,40
"Mathematics and Computing(5 year, Bachelor and Master of Technology (Dual
Degree), Engineering)",OBC-NCL,Gender-Neutral,246,312
"Mathematics and Computing(5 year, Bachelor and Master of Technology (Dual
Degree), Engineering)",SC,Gender-Neutral,147,275
"Mathematics and Computing(5 year, Bachelor and Master of Technology (Dual
Degree), Engineering)",ST,Gender-Neutral,134,255
"Mathematics and Computing(5 year, Bachelor and Master of Technology (Dual
Degree), Engineering)",General,Female-Only,1035,1585
"Mathematics and Computing(5 year, Bachelor and Master of Technology (Dual
Degree), Engineering)",OBC-NCL,Female-Only,1337,1482
"Mathematics and Computing(5 year, Bachelor and Master of Technology (Dual
Degree), Engineering)",SC,Female-Only,615,615
