branch,category,seatpool,oprank,closerank
"Metallurgical Engineering and Materials Science(4 year, Bachelor of Technology,
Engineering)",SC,Gender-Neutral,678,989
"Metallurgical Engineering and Materials Science(4 year, Bachelor of Technology,
Engineering)",ST,Gender-Neutral,442,555
"Metallurgical Engineering and Materials Science(4 year, Bachelor of Technology,
Engineering)",General,Female-Only,4814,6574
"Metallurgical Engineering and Materials Science(4 year, Bachelor of Technology,
Engineering)",EWS,Female-Only,868,868
"Metallurgical Engineering and Materials Science(4 year, Bachelor of Technology,
Engineering)",OBC-NCL,Female-Only,3187,3812
"Metallurgical Engineering and Materials Science(4 year, Bachelor of Technology,
Engineering)",SC,Female-Only,1466,2275
"Metallurgical Engineering and Materials Science(4 year, Bachelor of Technology,
Engineering)",ST,Female-Only,1109,1160
"Chemistry(4 year, Bachelor of Science, Science)",General,Gender-Neutral,1486,5413
"Chemistry(4 year, Bachelor of Science, Science)",EWS,Gender-Neutral,511,511
"Chemistry(4 year, Bachelor of Science, Science)",OBC-NCL,Gender-Neutral,1965,2890
"Chemistry(4 year, Bachelor of Science, Science)",SC,Gender-Neutral,1255,1856
"Chemistry(4 year, Bachelor of Science, Science)",ST,Gender-Neutral,568,650
"Chemistry(4 year, Bachelor of Science, Science)",General,Female-Only,8846,9329
"Chemistry(4 year, Bachelor of Science, Science)",OBC-NCL,Female-Only,5583,6048
"Chemistry(4 year, Bachelor of Science, Science)",SC,Female-Only,2578,2578
"Chemistry(4 year, Bachelor of Science, Science)",ST,Female-Only,159P,159P
"Economics(4 year, Bachelor of Science, Science)",General,Gender-Neutral,1312,1885
"Economics(4 year, Bachelor of Science, Science)",EWS,Gender-Neutral,192,192
"Economics(4 year, Bachelor of Science, Science)",OBC-NCL,Gender-Neutral,735,1123
"Economics(4 year, Bachelor of Science, Science)",SC,Gender-Neutral,899,942
"Economics(4 year, Bachelor of Science, Science)",ST,Gender-Neutral,551,573
"Economics(4 year, Bachelor of Science, Science)",General,Female-Only,1276,4239
"Economics(4 year, Bachelor of Science, Science)",OBC-NCL,Female-Only,2160,2772
"Economics(4 year, Bachelor of Science, Science)",SC,Female-Only,922,922
"BS in Mathematics(4 year, Bachelor of Science, Science)",General,Gender-Neutral,98,1041
"BS in Mathematics(4 year, Bachelor of Science, Science)",OBC-NCL,Gender-Neutral,1177,1419
"BS in Mathematics(4 year, Bachelor of Science, Science)",SC,Gender-Neutral,663,663
"BS in Mathematics(4 year, Bachelor of Science, Science)",ST,Gender-Neutral,320,320
"BS in Mathematics(4 year, Bachelor of Science, Science)",General,Female-Only,4960,4960
"BS in Mathematics(4 year, Bachelor of Science, Science)",OBC-NCL,Female-Only,2444,2444
"Environmental Science and Engineering(5 year, Bachelor and Master of Technology
(Dual Degree), Engineering)",General,Gender-Neutral,4023,4856
"Environmental Science and Engineering(5 year, Bachelor and Master of Technology
(Dual Degree), Engineering)",EWS,Gender-Neutral,457,457
"Environmental Science and Engineering(5 year, Bachelor and Master of Technology
(Dual Degree), Engineering)",OBC-NCL,Gender-Neutral,2353,2818
"Environmental Science and Engineering(5 year, Bachelor and Master of Technology
(Dual Degree), Engineering)",SC,Gender-Neutral,1349,1642
"Environmental Science and Engineering(5 year, Bachelor and Master of Technology
(Dual Degree), Engineering)",ST,Gender-Neutral,807,829
"Environmental Science and Engineering(5 year, Bachelor and Master of Technology
(Dual Degree), Engineering)",General,Female-Only,8337,8834
"Environmental Science and Engineering(5 year, Bachelor and Master of Technology
(Dual Degree), Engineering)",OBC-NCL,Female-Only,4102,4480
"Environmental Science and Engineering(5 year, Bachelor and Master of Technology
(Dual Degree), Engineering)",SC,Female-Only,2228,2228
"Metallurgical Engineering & Materials Science(5 year, Bachelor and Master of
Technology (Dual Degree), Engineering)",General,Gender-Neutral,3348,3637
"Metallurgical Engineering & Materials Science(5 year, Bachelor and Master of
Technology (Dual Degree), Engineering)",EWS,Gender-Neutral,435,435
"Metallurgical Engineering & Materials Science(5 year, Bachelor and Master of
Technology (Dual Degree), Engineering)",OBC-NCL,Gender-Neutral,1910,2142
"Metallurgical Engineering & Materials Science(5 year, Bachelor and Master of
Technology (Dual Degree), Engineering)",SC,Gender-Neutral,1260,1385
"Metallurgical Engineering & Materials Science(5 year, Bachelor and Master of
Technology (Dual Degree), Engineering)",ST,Gender-Neutral,635,726
"Metallurgical Engineering & Materials Science(5 year, Bachelor and Master of
Technology (Dual Degree), Engineering)",General,Female-Only,7336,7641
"Metallurgical Engineering & Materials Science(5 year, Bachelor and Master of
Technology (Dual Degree), Engineering)",OBC-NCL,Female-Only,3904,3904
"Metallurgical Engineering & Materials Science(5 year, Bachelor and Master of
Technology (Dual Degree), Engineering)",SC,Female-Only,1370,1370
"Metallurgical Engineering & Materials Science(5 year, Bachelor and Master of
Technology (Dual Degree), Engineering)",ST,Female-Only,238P,238P
"Electrical Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",General,Gender-Neutral,296,554
"Electrical Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",General PwD,Gender-Neutral,83,83
