branch,category,seatpool,oprank,closerank
"Electronics and Electrical Communication Engineering(4 year, Bachelor of Technology,
Engineering)",General PwD,Gender-Neutral,20,20
"Electronics and Electrical Communication Engineering(4 year, Bachelor of Technology,
Engineering)",EWS,Gender-Neutral,61,61
"Electronics and Electrical Communication Engineering(4 year, Bachelor of Technology,
Engineering)",EWS PwD,Gender-Neutral,8P,8P
"Electronics and Electrical Communication Engineering(4 year, Bachelor of Technology,
Engineering)",OBC-NCL,Gender-Neutral,212,401
"Electronics and Electrical Communication Engineering(4 year, Bachelor of Technology,
Engineering)",OBC-NCL(PwD),Gender-Neutral,31,31
"Electronics and Electrical Communication Engineering(4 year, Bachelor of Technology,
Engineering)",SC,Gender-Neutral,107,331
"Electronics and Electrical Communication Engineering(4 year, Bachelor of Technology,
Engineering)",ST,Gender-Neutral,51,166
"Electronics and Electrical Communication Engineering(4 year, Bachelor of Technology,
Engineering)",General,Female-Only,677,2434
"Electronics and Electrical Communication Engineering(4 year, Bachelor of Technology,
Engineering)",General PwD,Female-Only,11P,11P
"Electronics and Electrical Communication Engineering(4 year, Bachelor of Technology,
Engineering)",EWS,Female-Only,211,211
"Electronics and Electrical Communication Engineering(4 year, Bachelor of Technology,
Engineering)",OBC-NCL,Female-Only,968,1061
"Electronics and Electrical Communication Engineering(4 year, Bachelor of Technology,
Engineering)",OBC-NCL(PwD),Female-Only,60P,60P
"Electronics and Electrical Communication Engineering(4 year, Bachelor of Technology,
Engineering)",SC,Female-Only,510,510
"Electronics and Electrical Communication Engineering(4 year, Bachelor of Technology,
Engineering)",ST,Female-Only,582,582
"Instrumentation Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,1363,2144
"Instrumentation Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,155,155
"Instrumentation Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,214,214
"Instrumentation Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,763,1135
"Instrumentation Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,764,999
"Instrumentation Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,535,611
"Instrumentation Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,5694,6033
"Instrumentation Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,2466,2466
"Instrumentation Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,1444,1923
"Manufacturing Science and Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,3425,4548
"Manufacturing Science and Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,406,406
"Manufacturing Science and Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,1875,2324
"Manufacturing Science and Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,390,1477
"Manufacturing Science and Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,616,679
"Manufacturing Science and Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,8810,9332
"Manufacturing Science and Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,4309,4941
"Manufacturing Science and Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,2179,2179
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,1518,2072
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",General PwD,Gender-Neutral,72,72
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,149,162
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,739,894
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL(PwD),Gender-Neutral,6P,6P
