branch,category,seatpool,oprank,closerank
"Mechanical Engineering(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,926,1074
"Metallurgical and Materials Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,4353,5668
"Metallurgical and Materials Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,537,556
"Metallurgical and Materials Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,2162,2776
"Metallurgical and Materials Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,1502,1777
"Metallurgical and Materials Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,738,908
"Metallurgical and Materials Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,10112,11298
"Metallurgical and Materials Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Female-Only,1640,1640
"Metallurgical and Materials Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,5225,5478
"Metallurgical and Materials Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,2392,2587
"Metallurgical and Materials Engineering(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,114,114
"Polymer Science and Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,6153,7201
"Polymer Science and Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,679,679
"Polymer Science and Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,3259,3358
"Polymer Science and Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,1572,2006
"Polymer Science and Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,1000,1068
"Polymer Science and Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,9982,10090
"Polymer Science and Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,5134,6988
"Polymer Science and Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,3198,3198
"Polymer Science and Engineering(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,962,962
"Production and Industrial Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,3380,4632
"Production and Industrial Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,455,467
"Production and Industrial Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,1914,2449
"Production and Industrial Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,1194,1389
"Production and Industrial Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,673,746
"Production and Industrial Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,8230,8877
"Production and Industrial Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,5530,5814
"Production and Industrial Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,2801,2801
"Production and Industrial Engineering(4 year, Bachelor of Technology, Engineering)",ST,Female-Only,558,558
"Architecture (5 year, Bachelor of Architecture, Architecture)",General,Gender-Neutral,9673,14155
"Architecture (5 year, Bachelor of Architecture, Architecture)",General PwD,Gender-Neutral,44,44
"Architecture (5 year, Bachelor of Architecture, Architecture)",EWS,Gender-Neutral,2131,2131
"Architecture (5 year, Bachelor of Architecture, Architecture)",OBC-NCL,Gender-Neutral,3878,5824
"Architecture (5 year, Bachelor of Architecture, Architecture)",SC,Gender-Neutral,2243,2546
"Architecture (5 year, Bachelor of Architecture, Architecture)",ST,Gender-Neutral,1061,646
"Architecture (5 year, Bachelor of Architecture, Architecture)",General,Female-Only,12795,16178
"Architecture (5 year, Bachelor of Architecture, Architecture)",OBC-NCL,Female-Only,6538,7163
"Architecture (5 year, Bachelor of Architecture, Architecture)",SC,Female-Only,2912,2912
"Geological Technology(5 year, Integrated Master of Technology, Engineering)",General,Gender-Neutral,7340,8410
"Geological Technology(5 year, Integrated Master of Technology, Engineering)",EWS,Gender-Neutral,832,832
"Geological Technology(5 year, Integrated Master of Technology, Engineering)",OBC-NCL,Gender-Neutral,3303,3959
"Geological Technology(5 year, Integrated Master of Technology, Engineering)",SC,Gender-Neutral,1791,2276
"Geological Technology(5 year, Integrated Master of Technology, Engineering)",ST,Gender-Neutral,999,1031
"Geological Technology(5 year, Integrated Master of Technology, Engineering)",General,Female-Only,13434,14366
"Geological Technology(5 year, Integrated Master of Technology, Engineering)",OBC-NCL,Female-Only,7505,7505
"Geological Technology(5 year, Integrated Master of Technology, Engineering)",SC,Female-Only,3232,3232
"Geophysical Technology(5 year, Integrated Master of Technology, Engineering)",General,Gender-Neutral,5207,7184
"Geophysical Technology(5 year, Integrated Master of Technology, Engineering)",EWS,Gender-Neutral,784,784
"Geophysical Technology(5 year, Integrated Master of Technology, Engineering)",OBC-NCL,Gender-Neutral,2688,3545
"Geophysical Technology(5 year, Integrated Master of Technology, Engineering)",SC,Gender-Neutral,1332,1728
"Geophysical Technology(5 year, Integrated Master of Technology, Engineering)",ST,Gender-Neutral,1116,1125
"Geophysical Technology(5 year, Integrated Master of Technology, Engineering)",General,Female-Only,12613,13427
"Geophysical Technology(5 year, Integrated Master of Technology, Engineering)",OBC-NCL,Female-Only,6081,7203
"Geophysical Technology(5 year, Integrated Master of Technology, Engineering)",SC,Female-Only,3133,3133
"Applied Mathematics(5 year, Integrated Master of Science, Science)",General,Gender-Neutral,1551,2273
"Applied Mathematics(5 year, Integrated Master of Science, Science)",General PwD,Gender-Neutral,223,223
"Applied Mathematics(5 year, Integrated Master of Science, Science)",EWS,Gender-Neutral,229,229
"Applied Mathematics(5 year, Integrated Master of Science, Science)",OBC-NCL,Gender-Neutral,638,1360
"Applied Mathematics(5 year, Integrated Master of Science, Science)",SC,Gender-Neutral,898,1570
"Applied Mathematics(5 year, Integrated Master of Science, Science)",ST,Gender-Neutral,793,797
"Applied Mathematics(5 year, Integrated Master of Science, Science)",General,Female-Only,4508,4673
"Applied Mathematics(5 year, Integrated Master of Science, Science)",OBC-NCL,Female-Only,2806,3954
"Applied Mathematics(5 year, Integrated Master of Science, Science)",SC,Female-Only,1985,1985
"Chemistry(5 year, Integrated Master of Science, Science)",General,Gender-Neutral,6218,9135
"Chemistry(5 year, Integrated Master of Science, Science)",EWS,Gender-Neutral,914,914
"Chemistry(5 year, Integrated Master of Science, Science)",OBC-NCL,Gender-Neutral,3750,4138
"Chemistry(5 year, Integrated Master of Science, Science)",SC,Gender-Neutral,2295,2366
"Chemistry(5 year, Integrated Master of Science, Science)",ST,Gender-Neutral,906,906
"Chemistry(5 year, Integrated Master of Science, Science)",General,Female-Only,11369,13639
"Chemistry(5 year, Integrated Master of Science, Science)",OBC-NCL,Female-Only,7240,7240
"Chemistry(5 year, Integrated Master of Science, Science)",SC,Female-Only,3366,3366
"Physics(5 year, Integrated Master of Science, Science)",General,Gender-Neutral,4412,5877
"Physics(5 year, Integrated Master of Science, Science)",EWS,Gender-Neutral,598,598
"Physics(5 year, Integrated Master of Science, Science)",OBC-NCL,Gender-Neutral,3073,3477
"Physics(5 year, Integrated Master of Science, Science)",SC,Gender-Neutral,1661,2109
"Physics(5 year, Integrated Master of Science, Science)",ST,Gender-Neutral,917,917
"Physics(5 year, Integrated Master of Science, Science)",General,Female-Only,13122,14385
"Physics(5 year, Integrated Master of Science, Science)",OBC-NCL,Female-Only,7465,7465
"Physics(5 year, Integrated Master of Science, Science)",SC,Female-Only,3260,3260
