branch,category,seatpool,oprank,closerank
"Economics(4 year, Bachelor of Science, Science)",General,Female-Only,634,5722
"Economics(4 year, Bachelor of Science, Science)",OBC-NCL,Female-Only,4936,3548
"Economics(4 year, Bachelor of Science, Science)",SC,Female-Only,3434,2159
"Economics(4 year, Bachelor of Science, Science)",ST,Female-Only,2159,1199
"Mathematics and Scientific Computing(4 year, Bachelor of Science, Science)",General,Gender-Neutral,1199,878
"Mathematics and Scientific Computing(4 year, Bachelor of Science, Science)",General PwD,Gender-Neutral,446,153
"Mathematics and Scientific Computing(4 year, Bachelor of Science, Science)",EWS,Gender-Neutral,57,95
"Mathematics and Scientific Computing(4 year, Bachelor of Science, Science)",OBC-NCL,Gender-Neutral,71,552
"Mathematics and Scientific Computing(4 year, Bachelor of Science, Science)",OBC-NCL(PwD),Gender-Neutral,333,22P
"Mathematics and Scientific Computing(4 year, Bachelor of Science, Science)",SC,Gender-Neutral,22P,585
"Mathematics and Scientific Computing(4 year, Bachelor of Science, Science)",ST,Gender-Neutral,218,326
"Mathematics and Scientific Computing(4 year, Bachelor of Science, Science)",General,Female-Only,165,2887
"Mathematics and Scientific Computing(4 year, Bachelor of Science, Science)",OBC-NCL,Female-Only,1175,2006
"Mathematics and Scientific Computing(4 year, Bachelor of Science, Science)",SC,Female-Only,1930,1191
"Mathematics and Scientific Computing(4 year, Bachelor of Science, Science)",ST,Female-Only,985,609
"Physics(4 year, Bachelor of Science, Science)",General,Gender-Neutral,609,4034
"Physics(4 year, Bachelor of Science, Science)",General PwD,Gender-Neutral,1062,149P
"Physics(4 year, Bachelor of Science, Science)",EWS,Gender-Neutral,149P,484
"Physics(4 year, Bachelor of Science, Science)",OBC-NCL,Gender-Neutral,465,3070
"Physics(4 year, Bachelor of Science, Science)",SC,Gender-Neutral,2104,2047
"Physics(4 year, Bachelor of Science, Science)",ST,Gender-Neutral,480,877
"Physics(4 year, Bachelor of Science, Science)",General,Female-Only,695,10598
"Physics(4 year, Bachelor of Science, Science)",OBC-NCL,Female-Only,7185,6555
"Physics(4 year, Bachelor of Science, Science)",SC,Female-Only,6127,3329
"Physics(4 year, Bachelor of Science, Science)",ST,Female-Only,3329,924P
"Earth Sciences(4 year, Bachelor of Science, Science)",General,Gender-Neutral,924P,7418
"Earth Sciences(4 year, Bachelor of Science, Science)",EWS,Gender-Neutral,5043,782
"Earth Sciences(4 year, Bachelor of Science, Science)",OBC-NCL,Gender-Neutral,755,3733
"Earth Sciences(4 year, Bachelor of Science, Science)",SC,Gender-Neutral,1408,2076
"Earth Sciences(4 year, Bachelor of Science, Science)",ST,Gender-Neutral,2035,1083
"Earth Sciences(4 year, Bachelor of Science, Science)",General,Female-Only,729,11774
"Earth Sciences(4 year, Bachelor of Science, Science)",OBC-NCL,Female-Only,8510,7080
"Earth Sciences(4 year, Bachelor of Science, Science)",SC,Female-Only,6749,3040
"Earth Sciences(4 year, Bachelor of Science, Science)",ST,Female-Only,3040,1025P
