branch,seatpool,oprank,closerank,category
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,72,72,OPEN (PwD)
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,114,453,SC
"Mechanical Engineering (4 Years, Bachelor of Technology)",Female-Only,1270,1294,SC
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,149,268,ST
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2083,2352,OBC-NCL
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Female-Only,4802,4910,OBC-NCL
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,494,494,GEN-EWS
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,3844,5020,OPEN
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Female-Only,8767,9561,OPEN
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1172,1578,SC
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Female-Only,2184,2184,SC
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,586,794,ST
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Female-Only,1133,1133,ST
"Mining Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2375,2931,OBC-NCL
"Mining Engineering (4 Years, Bachelor of Technology)",Female-Only,6429,7203,OBC-NCL
"Mining Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,632,632,GEN-EWS
"Mining Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,5516,6694,OPEN
"Mining Engineering (4 Years, Bachelor of Technology)",Female-Only,12029,12864,OPEN
"Mining Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1206,1787,SC
"Mining Engineering (4 Years, Bachelor of Technology)",Female-Only,2834,2834,SC
"Mining Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,748,809,ST
"Mining Engineering (4 Years, Bachelor of Technology)",Female-Only,535P,535P,ST
"Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)",Gender-Neutral,2419,2974,OBC-NCL
"Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)",Female-Only,5984,6127,OBC-NCL
"Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)",Gender-Neutral,639,639,GEN-EWS
"Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)",Gender-Neutral,5568,6405,OPEN
"Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)",Female-Only,12099,12443,OPEN
"Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)",Gender-Neutral,1402,1991,SC
"Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)",Female-Only,3416,3416,SC
"Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)",Gender-Neutral,694,843,ST
"Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)",Female-Only,401P,401P,ST
"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1711,1940,OBC-NCL
"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",Female-Only,3880,4268,OBC-NCL
"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,300,300,GEN-EWS
"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2726,3491,OPEN
"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",Female-Only,7547,8060,OPEN
"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,976,1355,SC
"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",Female-Only,1846,1846,SC
"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,462,657,ST
"Architecture (5 Years, Bachelor of Architecture)",Gender-Neutral,4085,6090,OBC-NCL
"Architecture (5 Years, Bachelor of Architecture)",Female-Only,6054,6054,OBC-NCL
"Architecture (5 Years, Bachelor of Architecture)",Gender-Neutral,2129,2129,GEN-EWS
"Architecture (5 Years, Bachelor of Architecture)",Female-Only,3362,3362,GEN-EWS
"Architecture (5 Years, Bachelor of Architecture)",Gender-Neutral,6601,18002,OPEN
"Architecture (5 Years, Bachelor of Architecture)",Female-Only,16403,18448,OPEN
"Architecture (5 Years, Bachelor of Architecture)",Gender-Neutral,2098,2607,SC
"Architecture (5 Years, Bachelor of Architecture)",Female-Only,1745,1745,SC
