branch,seatpool,oprank,closerank,category
"Engineering Design (5 Years, Bachelor and Master of Technology (Dual Degree))",Female-Only,3516,4238,OBC-NCL
"Engineering Design (5 Years, Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,398,441,GEN-EWS
"Engineering Design (5 Years, Bachelor and Master of Technology (Dual Degree))",Female-Only,1848,1848,GEN-EWS
"Engineering Design (5 Years, Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,2080,3534,OPEN
"Engineering Design (5 Years, Bachelor and Master of Technology (Dual Degree))",Female-Only,2247,7509,OPEN
"Engineering Design (5 Years, Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,28,28,OPEN (PwD)
"Engineering Design (5 Years, Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,794,1800,SC
"Engineering Design (5 Years, Bachelor and Master of Technology (Dual Degree))",Female-Only,2325,2325,SC
"Engineering Design (5 Years, Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,425,730,ST
"Engineering Design (5 Years, Bachelor and Master of Technology (Dual Degree))",Female-Only,379P,379P,ST
"Biological Sciences (5 Years, Bachelor of Science and Master of Science (Dual
Degree))",Gender-Neutral,3391,4176,OBC-NCL
"Biological Sciences (5 Years, Bachelor of Science and Master of Science (Dual
Degree))",Female-Only,6070,6703,OBC-NCL
"Biological Sciences (5 Years, Bachelor of Science and Master of Science (Dual
Degree))",Gender-Neutral,952,952,GEN-EWS
"Biological Sciences (5 Years, Bachelor of Science and Master of Science (Dual
Degree))",Female-Only,2055,2055,GEN-EWS
"Biological Sciences (5 Years, Bachelor of Science and Master of Science (Dual
Degree))",Gender-Neutral,4487,8712,OPEN
"Biological Sciences (5 Years, Bachelor of Science and Master of Science (Dual
Degree))",Female-Only,9127,13695,OPEN
"Biological Sciences (5 Years, Bachelor of Science and Master of Science (Dual
Degree))",Gender-Neutral,2158,2332,SC
"Biological Sciences (5 Years, Bachelor of Science and Master of Science (Dual
Degree))",Female-Only,2731,2731,SC
"Biological Sciences (5 Years, Bachelor of Science and Master of Science (Dual
Degree))",Gender-Neutral,79P,89P,ST
"Biological Sciences (5 Years, Bachelor of Science and Master of Science (Dual
Degree))",Female-Only,954P,954P,ST
"Physics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",Gender-Neutral,2320,2715,OBC-NCL
"Physics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",Female-Only,5463,5463,OBC-NCL
"Physics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",Gender-Neutral,2549,4010,OPEN
"Physics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",Female-Only,7426,7426,OPEN
"Physics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",Gender-Neutral,1283,2123,SC
