branch,seatpool,oprank,closerank,category
"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Female-Only,619,628,ST
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,4996,9757,OBC-NCL
"Mechanical Engineering (4 Years, Bachelor of Technology)",Female-Only,20242,24938,OBC-NCL
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1000,1000,OBC-NCL(PwD)
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2992,3171,GEN-EWS
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,11662,20952,OPEN
"Mechanical Engineering (4 Years, Bachelor of Technology)",Female-Only,14441,27430,OPEN
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,470,621,OPEN (PwD)
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2384,4703,SC
"Mechanical Engineering (4 Years, Bachelor of Technology)",Female-Only,3884,3884,SC
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1310,1612,ST
"Mechanical Engineering (4 Years, Bachelor of Technology)",Female-Only,2711,2711,ST
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2489,3168,OBC-NCL
"Mechanical Engineering (4 Years, Bachelor of Technology)",Female-Only,6872,7413,OBC-NCL
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,344,344,OBC-NCL(PwD)
"Mechanical Engineering (4 Years, Bachelor of Technology)",Female-Only,655,655,OBC-NCL(PwD)
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1105,1165,GEN-EWS
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,6540,9736,OPEN
"Mechanical Engineering (4 Years, Bachelor of Technology)",Female-Only,13448,18218,OPEN
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,389,389,OPEN (PwD)
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,923,1619,SC
