branch,seatpool,oprank,closerank,category
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,30,30,OPEN (PwD)
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,82,250,SC
"Mechanical Engineering (4 Years, Bachelor of Technology)",Female-Only,431,945,SC
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2,2,SC (PwD)
"Mechanical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,65,135,ST
"Mechanical Engineering (4 Years, Bachelor of Technology)",Female-Only,310,432,ST
"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",Gender-Neutral,1236,1905,OBC-NCL
"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",Female-Only,3205,4016,OBC-NCL
"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",Gender-Neutral,363,378,GEN-EWS
"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",Female-Only,868,868,GEN-EWS
"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",Gender-Neutral,2138,3348,OPEN
"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",Female-Only,4814,6574,OPEN
"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",Gender-Neutral,94,94,OPEN (PwD)
"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",Gender-Neutral,678,1034,SC
"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",Female-Only,1466,2275,SC
"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",Gender-Neutral,501,635,ST
"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",Female-Only,1109,1160,ST
"Chemistry (4 Years, Bachelor of Science)",Gender-Neutral,1965,2932,OBC-NCL
"Chemistry (4 Years, Bachelor of Science)",Female-Only,5583,6048,OBC-NCL
"Chemistry (4 Years, Bachelor of Science)",Gender-Neutral,511,511,GEN-EWS
"Chemistry (4 Years, Bachelor of Science)",Gender-Neutral,1486,5626,OPEN
"Chemistry (4 Years, Bachelor of Science)",Female-Only,8846,9329,OPEN
"Chemistry (4 Years, Bachelor of Science)",Gender-Neutral,1255,1981,SC
"Chemistry (4 Years, Bachelor of Science)",Female-Only,2578,2578,SC
"Chemistry (4 Years, Bachelor of Science)",Gender-Neutral,568,650,ST
"Chemistry (4 Years, Bachelor of Science)",Female-Only,159P,159P,ST
"Economics (4 Years, Bachelor of Science)",Gender-Neutral,735,1123,OBC-NCL
"Economics (4 Years, Bachelor of Science)",Female-Only,2160,2772,OBC-NCL
"Economics (4 Years, Bachelor of Science)",Gender-Neutral,192,192,GEN-EWS
"Economics (4 Years, Bachelor of Science)",Gender-Neutral,1312,1885,OPEN
"Economics (4 Years, Bachelor of Science)",Female-Only,1276,4239,OPEN
"Economics (4 Years, Bachelor of Science)",Gender-Neutral,899,942,SC
"Economics (4 Years, Bachelor of Science)",Female-Only,922,922,SC
"Economics (4 Years, Bachelor of Science)",Gender-Neutral,573,611,ST
"BS in Mathematics (4 Years, Bachelor of Science)",Gender-Neutral,1177,1419,OBC-NCL
"BS in Mathematics (4 Years, Bachelor of Science)",Female-Only,2444,2444,OBC-NCL
"BS in Mathematics (4 Years, Bachelor of Science)",Gender-Neutral,702,1283,OPEN
"BS in Mathematics (4 Years, Bachelor of Science)",Female-Only,4960,4960,OPEN
"BS in Mathematics (4 Years, Bachelor of Science)",Gender-Neutral,663,663,SC
"BS in Mathematics (4 Years, Bachelor of Science)",Gender-Neutral,320,320,ST
"Environmental Science and Engineering (5 Years, Bachelor and Master of
Technology (Dual Degree))",Gender-Neutral,2353,3012,OBC-NCL
"Environmental Science and Engineering (5 Years, Bachelor and Master of
Technology (Dual Degree))",Female-Only,4102,4480,OBC-NCL
"Environmental Science and Engineering (5 Years, Bachelor and Master of
Technology (Dual Degree))",Gender-Neutral,457,457,GEN-EWS
"Environmental Science and Engineering (5 Years, Bachelor and Master of
Technology (Dual Degree))",Gender-Neutral,4023,4856,OPEN
"Environmental Science and Engineering (5 Years, Bachelor and Master of
Technology (Dual Degree))",Female-Only,8337,8834,OPEN
"Environmental Science and Engineering (5 Years, Bachelor and Master of
Technology (Dual Degree))",Gender-Neutral,1349,1642,SC
"Environmental Science and Engineering (5 Years, Bachelor and Master of
Technology (Dual Degree))",Female-Only,2228,2228,SC
"Environmental Science and Engineering (5 Years, Bachelor and Master of
Technology (Dual Degree))",Gender-Neutral,807,829,ST
"Metallurgical Engineering & Materials Science (5 Years, Bachelor and Master of
Technology (Dual Degree))",Gender-Neutral,1910,2142,OBC-NCL
"Metallurgical Engineering & Materials Science (5 Years, Bachelor and Master of
Technology (Dual Degree))",Female-Only,3904,3904,OBC-NCL
"Metallurgical Engineering & Materials Science (5 Years, Bachelor and Master of
Technology (Dual Degree))",Gender-Neutral,448,448,GEN-EWS
"Metallurgical Engineering & Materials Science (5 Years, Bachelor and Master of
Technology (Dual Degree))",Gender-Neutral,3354,3686,OPEN
"Metallurgical Engineering & Materials Science (5 Years, Bachelor and Master of
Technology (Dual Degree))",Female-Only,7336,7641,OPEN
"Metallurgical Engineering & Materials Science (5 Years, Bachelor and Master of
Technology (Dual Degree))",Gender-Neutral,1260,1430,SC
"Metallurgical Engineering & Materials Science (5 Years, Bachelor and Master of
Technology (Dual Degree))",Female-Only,1370,1370,SC
"Metallurgical Engineering & Materials Science (5 Years, Bachelor and Master of
Technology (Dual Degree))",Gender-Neutral,726,757,ST
"Metallurgical Engineering & Materials Science (5 Years, Bachelor and Master of
Technology (Dual Degree))",Female-Only,238P,238P,ST
"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,173,436,OBC-NCL
"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Female-Only,1025,1319,OBC-NCL
"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,22P,22P,OBC-NCL(PwD)
"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,56,78,GEN-EWS
"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,306,572,OPEN
"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Female-Only,1252,2219,OPEN
"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,83,83,OPEN (PwD)
"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,155,410,SC
"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Female-Only,336,657,SC
"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,130,190,ST
"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Female-Only,745,745,ST
"Energy Engineering with M.Tech. in Energy Systems Engineering (5 Years, Bachelor
and Master of Technology (Dual Degree))",Gender-Neutral,1212,1369,OBC-NCL
"Energy Engineering with M.Tech. in Energy Systems Engineering (5 Years, Bachelor
and Master of Technology (Dual Degree))",Female-Only,2647,2822,OBC-NCL
