branch,seatpool,oprank,closerank,category
"Economics (4 Years, Bachelor of Science)",Gender-Neutral,282,336,GEN-EWS
"Economics (4 Years, Bachelor of Science)",Gender-Neutral,1681,2373,OPEN
"Economics (4 Years, Bachelor of Science)",Female-Only,4936,5722,OPEN
"Economics (4 Years, Bachelor of Science)",Gender-Neutral,86,86,OPEN (PwD)
"Economics (4 Years, Bachelor of Science)",Gender-Neutral,904,1629,SC
"Economics (4 Years, Bachelor of Science)",Female-Only,2159,2159,SC
"Economics (4 Years, Bachelor of Science)",Gender-Neutral,634,683,ST
"Economics (4 Years, Bachelor of Science)",Female-Only,1199,1199,ST
"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",Gender-Neutral,333,583,OBC-NCL
"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",Female-Only,1930,2006,OBC-NCL
"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",Gender-Neutral,66P,66P,OBC-NCL(PwD)
"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",Gender-Neutral,95,105,GEN-EWS
"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",Gender-Neutral,446,985,OPEN
"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",Female-Only,1801,2887,OPEN
"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",Gender-Neutral,57,153,OPEN (PwD)
"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",Gender-Neutral,218,585,SC
"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",Female-Only,985,1191,SC
"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",Gender-Neutral,165,346,ST
"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",Female-Only,609,609,ST
"Physics (4 Years, Bachelor of Science)",Gender-Neutral,2478,3131,OBC-NCL
"Physics (4 Years, Bachelor of Science)",Female-Only,6555,6616,OBC-NCL
"Physics (4 Years, Bachelor of Science)",Gender-Neutral,484,558,GEN-EWS
"Physics (4 Years, Bachelor of Science)",Gender-Neutral,1062,4588,OPEN
"Physics (4 Years, Bachelor of Science)",Female-Only,7185,10695,OPEN
"Physics (4 Years, Bachelor of Science)",Gender-Neutral,1337,2166,SC
"Physics (4 Years, Bachelor of Science)",Female-Only,3329,3329,SC
"Physics (4 Years, Bachelor of Science)",Gender-Neutral,695,877,ST
"Physics (4 Years, Bachelor of Science)",Female-Only,924P,924P,ST
"Earth Sciences (4 Years, Bachelor of Science)",Gender-Neutral,1408,3783,OBC-NCL
"Earth Sciences (4 Years, Bachelor of Science)",Female-Only,6749,6749,OBC-NCL
"Earth Sciences (4 Years, Bachelor of Science)",Gender-Neutral,782,822,GEN-EWS
"Earth Sciences (4 Years, Bachelor of Science)",Gender-Neutral,5298,7757,OPEN
"Earth Sciences (4 Years, Bachelor of Science)",Female-Only,8510,13427,OPEN
"Earth Sciences (4 Years, Bachelor of Science)",Gender-Neutral,2036,2398,SC
"Earth Sciences (4 Years, Bachelor of Science)",Female-Only,3076,3076,SC
"Earth Sciences (4 Years, Bachelor of Science)",Gender-Neutral,729,1083,ST
"Earth Sciences (4 Years, Bachelor of Science)",Female-Only,1101P,1101P,ST
